Red,0,0,Alewife,place-alfcl,447,145,ff0000,,,Red,,,,,,,,,,
Red,0,1,Davis,place-davis,490,188,ff0000,,,Red,Alewife,place-alfcl,447,145,,,,,,
Red,0,2,Porter,place-portr,533,231,ff0000,,,Red,Davis,place-davis,490,188,,,,,,
Red,0,3,Harvard,place-harsq,576,274,ff0000,,,Red,Porter,place-portr,533,231,,,,,,
Red,0,4,Central,place-cntsq,619,317,ff0000,,,Red,Harvard,place-harsq,576,274,,,,,,
Red,0,5,Kendall/MIT,place-knncl,662,360,ff0000,,,Red,Central,place-cntsq,619,317,,,,,,
Red,0,6,Charles/MGH,place-chmnl,715,412,ff0000,,,Red,Kendall/MIT,place-knncl,662,360,,,,,,
Red,0,7,Park,place-pktrm,749,447,ff0000,,,Red,Charles/MGH,place-chmnl,715,412,,,,,,
Red,0,8,Downtown Crossing,place-dwnxg,800,500,ff0000,,,Red,Park,place-pktrm,749,447,,,,,,
Red,0,9,South Station,place-sstat,851,550,ff0000,,,Red,Downtown Crossing,place-dwnxg,800,500,,,,,,
Red,0,10,Broadway,place-brdwy,884,650,ff0000,,,Red,South Station,place-sstat,851,550,884,587,,,,
Red,0,11,Andrew,place-andrw,884,702,ff0000,,,Red,Broadway,place-brdwy,884,650,,,,,,
Red,0,12,JFK/UMass,place-jfk,884,752,ff0000,,,Red,Andrew,place-andrw,884,702,,,,,,
Red,0,13,Savin Hill,place-shmnl,837,872,ff0000,,,Red,JFK/UMass,place-jfk,884,752,884,785,884,806,837,850
Red,0,14,Fields Corner,place-fldcr,837,896,ff0000,,,Red,Savin Hill,place-shmnl,837,872,,,,,,
Red,0,15,Shawmut,place-smmnl,837,919,ff0000,,,Red,Fields Corner,place-fldcr,837,896,,,,,,
Red,0,16,Ashmont,place-asmnl,837,941,ff0000,,,Red,Shawmut,place-smmnl,837,919,,,,,,
Red,1,14,North Quincy,place-nqncy,966,896,ff0000,,,Red,JFK/UMass,place-jfk,884,752,884,785,884,806,,
Red,1,15,Wollaston,place-wlsta,1000,931,ff0000,,,Red,North Quincy,place-nqncy,966,896,,,,,,
Red,1,16,Quincy Center,place-qnctr,1034,966,ff0000,,,Red,Wollaston,place-wlsta,1000,931,,,,,,
Red,1,17,Quincy Adams,place-qamnl,1060,1000,ff0000,,,Red,Quincy Center,place-qnctr,1034,966,1040,972,1060,990,,
Red,1,18,Braintree,place-brntn,1060,1051,ff0000,,,Red,Quincy Adams,place-qamnl,1060,1000,,,,,,
Orange,0,0,Oak Grove,place-ogmnl,825,60,ffa500,,,Orange,,,,,,,,,,
Orange,0,1,Malden,place-mlmnl,825,95,ffa500,,,Orange,Oak Grove,place-ogmnl,825,60,,,,,,
Orange,0,2,Wellington,place-welln,825,128,ffa500,,,Orange,Malden,place-mlmnl,825,95,,,,,,
Orange,0,3,Assembly,place-astao,825,162,ffa500,,,Orange,Wellington,place-welln,825,128,,,,,,
Orange,0,4,Sullivan,place-sull,825,196,ffa500,,,Orange,Assembly,place-astao,825,162,,,,,,
Orange,0,5,Community College,place-ccmnl,825,228,ffa500,,,Orange,Sullivan,place-sull,825,196,,,,,,
Orange,0,6,North Station,place-north,825,308,ffa500,,,Orange,Community College,place-ccmnl,825,228,,,,,,
Orange,0,7,Haymarket,place-haecl,825,369,ffa500,,,Orange,North Station,place-north,825,308,,,,,,
Orange,0,8,State,place-state,825,440,ffa500,,,Orange,Haymarket,place-haecl,825,369,,,,,,
Orange,0,9,Downtown Crossing,place-dwnxg,800,500,ffa500,,,Orange,State,place-state,825,440,824,473,,,,
Orange,0,10,Chinatown,place-chncl,749,548,ffa500,,,Orange,Downtown Crossing,place-dwnxg,800,500,,,,,,
Orange,0,11,Tufts Medical,place-tumnl,692,606,ffa500,,,Orange,Chinatown,place-chncl,749,548,,,,,,
Orange,0,12,Back Bay,place-bbsta,660,638,ffa500,,,Orange,Tufts Medical,place-tumnl,692,606,,,,,,
Orange,0,13,Mass Ave,place-masta,630,669,ffa500,,,Orange,Back Bay,place-bbsta,660,638,,,,,,
Orange,0,14,Ruggles,place-rugg,600,700,ffa500,,,Orange,Mass Ave,place-masta,630,669,,,,,,
Orange,0,15,Roxbury Crossing,place-rcmnl,568,730,ffa500,,,Orange,Ruggles,place-rugg,600,700,,,,,,
Orange,0,16,Jackson,place-jaksn,528,769,ffa500,,,Orange,Roxbury Crossing,place-rcmnl,568,730,,,,,,
Orange,0,17,Stony Brook,place-sbmnl,490,809,ffa500,,,Orange,Jackson,place-jaksn,528,769,,,,,,
Orange,0,18,Green,place-grnst,451,848,ffa500,,,Orange,Stony Brook,place-sbmnl,490,809,,,,,,
Orange,0,19,Forest Hills,place-forhl,412,887,ffa500,,,Orange,Green,place-grnst,451,848,,,,,,
Mattapan,0,0,Ashmont,place-asmnl,837,956,ff0000,,,Mattapan,,,412,887,,,,,,
Mattapan,0,1,Cedar Grove,place-cedgr,837,980,ff0000,,,Mattapan,Ashmont,place-asmnl,837,956,,,,,,
Mattapan,0,2,Butler,place-butlr,825,1006,ff0000,,,Mattapan,Cedar Grove,place-cedgr,837,980,836,997,,,,
Mattapan,0,3,Milton,place-miltt,799,1006,ff0000,,,Mattapan,Butler,place-butlr,825,1006,,,,,,
Mattapan,0,4,Central,place-cenav,772,1006,ff0000,,,Mattapan,Milton,place-miltt,799,1006,,,,,,
Mattapan,0,5,Valley,place-valrd,746,1006,ff0000,,,Mattapan,Central,place-cenav,772,1006,,,,,,
Mattapan,0,6,Capan,place-capst,719,1006,ff0000,,,Mattapan,Valley,place-valrd,746,1006,,,,,,
Mattapan,0,7,Mattapan,place-matt,692,1006,ff0000,,,Mattapan,Capan,place-capst,719,1006,,,,,,
