Red,0,0,Alewife,place-alfcl,447,145,ff0000,,,Red,,,,
Red,0,1,Davis,place-davis,490,188,ff0000,,,Red,Alewife,place-alfcl,,
Red,0,2,Porter,place-portr,533,231,ff0000,,,Red,Davis,place-davis,,
Red,0,3,Harvard,place-harsq,576,274,ff0000,,,Red,Porter,place-portr,,
Red,0,4,Central,place-cntsq,619,317,ff0000,,,Red,Harvard,place-harsq,,
Red,0,5,Kendall/MIT,place-knncl,662,360,ff0000,,,Red,Central,place-cntsq,,
Red,0,6,Charles/MGH,place-chmnl,715,412,ff0000,,,Red,Kendall/MIT,place-knncl,,
Red,0,7,Park,place-pktrm,749,447,ff0000,,,Red,Charles/MGH,place-chmnl,,
Red,0,8,Downtown Crossing,place-dwnxg,800,500,ff0000,,,Red,Park,place-pktrm,,
Red,0,9,South Station,place-sstat,851,550,ff0000,,,Red,Downtown Crossing,place-dwnxg,,
Red,0,9,,place-sstat,884,587,ff0000,1,,,,,,
Red,0,10,Broadway,place-brdwy,884,650,ff0000,,,Red,South Station,place-sstat,884,580
Red,0,11,Andrew,place-andrw,884,702,ff0000,,,Red,Broadway,place-brdwy,,
Red,0,12,JFK/UMass,place-jfk,884,752,ff0000,,,Red,Andrew,place-andrw,,
Red,0,12,,place-jfk,884,806,ff0000,1,,,,,,
Red,0,13,Savin Hill,place-shmnl,837,872,ff0000,,,Red,JFK/UMass,place-jfk,884,806
Red,0,14,Fields Corner,place-fldcr,837,896,ff0000,,,Red,Savin Hill,place-shmnl,,
Red,0,15,Shawmut,place-smmnl,837,919,ff0000,,,Red,Fields Corner,place-fldcr,,
Red,0,16,Ashmont,place-asmnl,837,941,ff0000,,,Red,Shawmut,place-smmnl,,
Red,1,0,Alewife,place-alfcl,447,145,ff0000,,,,Ashmont,place-asmnl,837,941
Red,1,1,Davis,place-davis,490,188,ff0000,,,,Alewife,place-alfcl,447,145
Red,1,2,Porter,place-portr,533,231,ff0000,,,,Davis,place-davis,490,188
Red,1,3,Harvard,place-harsq,576,274,ff0000,,,,Porter,place-portr,533,231
Red,1,4,Central,place-cntsq,619,317,ff0000,,,,Harvard,place-harsq,576,274
Red,1,5,Kendall/MIT,place-knncl,662,360,ff0000,,,,Central,place-cntsq,619,317
Red,1,6,Charles/MGH,place-chmnl,715,412,ff0000,,,,Kendall/MIT,place-knncl,662,360
Red,1,7,Park,place-pktrm,749,447,ff0000,,,,Charles/MGH,place-chmnl,715,412
Red,1,8,Downtown Crossing,place-dwnxg,800,500,ff0000,,,,Park,place-pktrm,749,447
Red,1,9,South Station,place-sstat,851,550,ff0000,,,,Downtown Crossing,place-dwnxg,800,500
Red,1,9,,place-sstat,884,587,ff0000,1,,,South Station,place-sstat,851,550
Red,1,10,Broadway,place-brdwy,884,650,ff0000,,,,0,place-sstat,884,587
Red,1,11,Andrew,place-andrw,884,702,ff0000,,,,Broadway,place-brdwy,884,650
Red,1,12,JFK/UMass,place-jfk,884,752,ff0000,,,,Andrew,place-andrw,884,702
Red,1,13,,place-jfk,884,806,ff0000,1,,,,,,
Red,1,14,North Quincy,place-nqncy,966,896,,,,Red,JFK/UMass,place-jfk,884,806
Red,1,15,Wollaston,place-wlsta,1000,931,,,,Red,North Quincy,place-nqncy,,
Red,1,14,North Quincy,place-nqncy,966,896,ff0000,,,Red,Wollaston,place-wlsta,,
Red,1,16,Quincy Center,place-qnctr,1034,966,ff0000,,,Red,North Quincy,place-nqncy,,
Red,1,16,,place-qnctr,1055,985,ff0000,1,,,,,,
Red,1,17,Quincy Adams,place-qamnl,1060,1000,ff0000,,,Red,Quincy Center,place-qnctr,1055,985
Red,1,18,Braintree,place-brntn,1060,1051,ff0000,,,Red,Quincy Adams,place-qamnl,,
Orange,0,0,Oak Grove,place-ogmnl,825,60,ffa500,,,Orange,,,,
Orange,0,1,Malden,place-mlmnl,825,95,ffa500,,,Orange,Oak Grove,place-ogmnl,,
Orange,0,2,Wellington,place-welln,825,128,ffa500,,,Orange,Malden,place-mlmnl,,
Orange,0,3,Assembly,place-astao,825,162,ffa500,,,Orange,Wellington,place-welln,,
Orange,0,4,Sullivan,place-sull,825,196,ffa500,,,Orange,Assembly,place-astao,,
Orange,0,5,Community College,place-ccmnl,825,228,ffa500,,,Orange,Sullivan,place-sull,,
Orange,0,6,North Station,place-north,825,308,ffa500,,,Orange,Community College,place-ccmnl,,
Orange,0,7,Haymarket,place-haecl,825,369,ffa500,,,Orange,North Station,place-north,,
