stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding
70015,70015,Back Bay,Back Bay - Orange Line - Oak Grove,,Oak Grove,42.347350,-71.075727,,,https://www.mbta.com/stops/place-bbsta,level_-1_orange_platform,0,place-bbsta,1
Back Bay,,Back Bay,Back Bay - Commuter Rail,,Commuter Rail,42.347350,-71.075727,CR-zone-1A,,https://www.mbta.com/stops/place-bbsta,level_-1_cr_platform,0,place-bbsta,1
Back Bay-01,,Back Bay,Back Bay - Commuter Rail - Track 1,1,Commuter Rail - Track 1,42.347283,-71.075312,CR-zone-1A,,https://www.mbta.com/stops/place-bbsta,level_-1_cr_platform,0,place-bbsta,1
Back Bay-02,,Back Bay,Back Bay - Commuter Rail - Track 2,2,Commuter Rail - Track 2,42.347196,-71.075299,CR-zone-1A,,https://www.mbta.com/stops/place-bbsta,level_-1_cr_platform,0,place-bbsta,1
Back Bay-03,,Back Bay,Back Bay - Commuter Rail - Track 3,3,Commuter Rail - Track 3,42.347283,-71.075312,CR-zone-1A,,https://www.mbta.com/stops/place-bbsta,level_-1_cr_platform,0,place-bbsta,1
Back Bay-05,,Back Bay,Back Bay - Commuter Rail - Track 5,5,Commuter Rail - Track 5,42.347590,-71.075393,CR-zone-1A,,https://www.mbta.com/stops/place-bbsta,level_-1_cr_platform,0,place-bbsta,1
Back Bay-07,,Back Bay,Back Bay - Commuter Rail - Track 7,7,Commuter Rail - Track 7,42.347590,-71.075393,CR-zone-1A,,https://www.mbta.com/stops/place-bbsta,level_-1_cr_platform,0,place-bbsta,1
door-bbsta-buswayn,,"Back Bay - Clarendon St, Buses (North)","Back Bay - Clarendon St, Buses (North)",,,42.348180,-71.074840,,,,level_in_street,2,place-bbsta,1
door-bbsta-busways,,"Back Bay - Clarendon St, Buses (South)","Back Bay - Clarendon St, Buses (South)",,,42.347490,-71.075550,,,,level_in_street,2,place-bbsta,1
door-bbsta-clarcolum,,"Back Bay - Clarendon St, Columbus Ave","Back Bay - Clarendon St, Columbus Ave",,,42.347540,-71.073410,,,,level_in_street,2,place-bbsta,2
door-bbsta-clarendon1,,Back Bay - Clarendon St (Tracks 1 and 3),Back Bay - Clarendon St (Tracks 1 and 3),,,42.347552,-71.072937,,,,level_in_street,2,place-bbsta,2
door-bbsta-clarendon2,,Back Bay - Clarendon St (Track 2),Back Bay - Clarendon St (Track 2),,,42.347471,-71.073050,,,,level_in_street,2,place-bbsta,2
door-bbsta-dartmn,,Back Bay - Dartmouth St (North),Back Bay - Dartmouth St (North),,,42.347584,-71.075900,,,,level_in_street,2,place-bbsta,1
door-bbsta-dartms,,Back Bay - Dartmouth St (South),Back Bay - Dartmouth St (South),,,42.347348,-71.075791,,,,level_in_street,2,place-bbsta,1
door-bbsta-dartmw,,Back Bay - Dartmouth St (Tracks 5 and 7),Back Bay - Dartmouth St (Tracks 5 and 7),,,42.347572,-71.076228,,,,level_in_street,2,place-bbsta,2
door-bbsta-garage,,Back Bay - Garage,Back Bay - Garage,,,42.347860,-71.075150,,,,level_ground,2,place-bbsta,1
door-bbsta-underpass,,Back Bay - Underpass to Copley Place,Back Bay - Underpass to Copley Place,,,42.347273,-71.076565,,,,level_ground,2,place-bbsta,2
place-bckhl,,Back of the Hill,,,,42.330139,-71.111313,,"100 S Huntington Ave, Boston, MA 02130",https://www.mbta.com/stops/place-bckhl,,1,,2
70257,70257,Back of the Hill,Back of the Hill - Green Line - (E) Heath Street,,Heath Street,42.329369,-71.111046,,,https://www.mbta.com/stops/place-bckhl,level_in_street,0,place-bckhl,2
70258,70258,Back of the Hill,Back of the Hill - Green Line - Park Street & North,,Park Street & North,42.329399,-71.110931,,,https://www.mbta.com/stops/place-bckhl,level_in_street,0,place-bckhl,2
place-bcnfd,,Beaconsfield,,,,42.335846,-71.140823,,"124 Beaconsfield Rd, Brookline, MA 02445",https://www.mbta.com/stops/place-bcnfd,,1,,2
70176,70176,Beaconsfield,Beaconsfield - Green Line - Park Street & North,,Park Street & North,42.335809,-71.140841,,,https://www.mbta.com/stops/place-bcnfd,level_ground,0,place-bcnfd,2
70177,70177,Beaconsfield,Beaconsfield - Green Line - (D) Riverside,,Riverside,42.335848,-71.140826,,,https://www.mbta.com/stops/place-bcnfd,level_ground,0,place-bcnfd,2
door-bcnfd-bcnfield,,Beaconsfield - Beaconsfield Rd,Beaconsfield - Beaconsfield Rd,,,42.335788,-71.139930,,,,level_ground,2,place-bcnfd,1
door-bcnfd-clark,,Beaconsfield - Clark Rd,Beaconsfield - Clark Rd,,,42.335555,-71.139970,,,,level_ground,2,place-bcnfd,1
door-bcnfd-dean,,"Beaconsfield - Dean Rd, Beacon St","Beaconsfield - Dean Rd, Beacon St",,,42.336053,-71.141404,,,,level_1_in_street,2,place-bcnfd,2
door-bcnfd-lot,,Beaconsfield - Parking Lot,Beaconsfield - Parking Lot,,,42.335845,-71.140420,,,,level_ground,2,place-bcnfd,2
place-bcnwa,,Washington Square,,,,42.339394,-71.135330,,"Beacon St and Washington St, Brookline, MA",https://www.mbta.com/stops/place-bcnwa,,1,,1
1276,1276,Washington St @ Beacon St,,,,42.339516,-71.135747,,,https://www.mbta.com/stops/place-bcnwa,,0,place-bcnwa,0
1292,1292,Washington St @ Beacon St,,,,42.339199,-71.135066,,,https://www.mbta.com/stops/place-bcnwa,,0,place-bcnwa,0
70229,70229,Washington Square,Washington Square - Green Line - (C) Cleveland Circle,,Cleveland Circle,42.339471,-71.135139,,,https://www.mbta.com/stops/place-bcnwa,level_median,0,place-bcnwa,1
70230,70230,Washington Square,Washington Square - Green Line - Park Street & North,,Park Street & North,42.339519,-71.134587,,,https://www.mbta.com/stops/place-bcnwa,level_median,0,place-bcnwa,1
9070229,9070229,Washington Square,Washington Square - Green Line Cleveland Circle Shuttle,,Cleveland Circle Shuttle,42.339687,-71.135035,,,https://www.mbta.com/stops/place-bcnwa,,0,place-bcnwa,1
9070230,9070230,Washington Square,Washington Square - Green Line Eastbound Shuttle,,Eastbound Shuttle,42.339284,-71.134735,,,https://www.mbta.com/stops/place-bcnwa,,0,place-bcnwa,1
place-belsq,,Bellingham Square,,,,42.395438,-71.033884,,,https://www.mbta.com/stops/place-belsq,,1,,1
74632,74632,Bellingham Square,Bellingham Square - Silver Line - SL3 South Station,,South Station,42.395328,-71.033291,,,https://www.mbta.com/stops/place-belsq,level_ground,0,place-belsq,1
74633,74633,Bellingham Square,Bellingham Square - Silver Line - SL3 Chelsea,,Chelsea,42.395638,-71.034599,,,https://www.mbta.com/stops/place-belsq,level_ground,0,place-belsq,1
place-bland,,Blandford Street,,,,42.349293,-71.100258,,"Commonwealth Ave and Blandford Mall, Boston, MA 02215",https://www.mbta.com/stops/place-bland,,1,,2
70148,70148,Blandford Street,Blandford Street - Green Line - Park Street & North,,Park Street & North,42.349165,-71.099821,,,https://www.mbta.com/stops/place-bland,level_median,0,place-bland,2
70149,70149,Blandford Street,Blandford Street - Green Line - (B) Boston College,,Boston College,42.349276,-71.100213,,,https://www.mbta.com/stops/place-bland,level_median,0,place-bland,2
place-bmmnl,,Beachmont,,,,42.397542,-70.992319,,"630 Winthrop Ave, Revere, MA 02151",https://www.mbta.com/stops/place-bmmnl,,1,,1
5810,5810,Winthrop Ave @ Beachmont Station,,,,42.397746,-70.992533,,,https://www.mbta.com/stops/place-bmmnl,,0,place-bmmnl,1
5819,5819,Winthrop Ave @ Beachmont Station,,,,42.398027,-70.992783,,,https://www.mbta.com/stops/place-bmmnl,,0,place-bmmnl,1
70055,70055,Beachmont,Beachmont - Blue Line - Bowdoin,1,Bowdoin,42.397542,-70.992319,,,https://www.mbta.com/stops/place-bmmnl,level_1_platform,0,place-bmmnl,1
70056,70056,Beachmont,Beachmont - Blue Line - Wonderland,2,Wonderland,42.397542,-70.992319,,,https://www.mbta.com/stops/place-bmmnl,level_1_platform,0,place-bmmnl,1
door-bmmnl-main,,Beachmont - Winthrop Ave,Beachmont - Winthrop Ave,,,42.397551,-70.992358,,,,level_in_street,2,place-bmmnl,1
place-bndhl,,Brandon Hall,,,,42.340023,-71.129082,,"1481 Beacon Street, Brookline, MA",https://www.mbta.com/stops/place-bndhl,,1,,2
70225,70225,Brandon Hall,Brandon Hall - Green Line - (C) Cleveland Circle,,Cleveland Circle,42.340053,-71.128869,,,https://www.mbta.com/stops/place-bndhl,level_median,0,place-bndhl,2
